,text
73,17th-Century Remedy; 21st-Century Potency
74,Forecasters expect toasty 2007
75,'Sunshine' Goydos wins Sony open
76,Teacher charged with sex assault
77,Merck: Gardasil may fight more strains
78,"Mountain glaciers melting faster, United Nations says"
79,Snow causes airport closures in Britain
80,Bananaconda inventor is top poet of kids
81,Shareholders sue Apple
82,Israelis retaliate after attack by Lebanese Army
83,Deadly bird flu confirmed in British Turkeys
84,Too little sleep may mean too fat kids
85,Bathing mom awakes to find baby dead
86,Visitors to Eiffel Tower climb to record in 2006
87,"More sleep, healthier slimmer children "
88,Queen battles Bond for Baftas
89,"Walters on Trump: 'Poor, pathetic man'"
90,"Ice storm smacks roads, power"
91,Iran says it will strike US interests if Attacked
92,Palestinian factions to resume talks
93,Study: men's sweat triggers high sexual arousal in women
94,Outcry at N Korea 'nuclear test'
95,Russia plans major military build-up
96,Archaeologists find remains of couple locked in a hug
97,Stenson defends his title at Dubai
98,Taking the plunge
99,Updates on world's top stories
100,Man rides stationary bike for 85 hours
101,Ice storm coating Midwest
102,A Mistrial for Lieut. Watada
103,Iran warns will hit back at US if attacked
104,ASEAN talks end on energy-security
105,"Iraqi death toll exceeded 34,000 in 2006, United Nations says"
106,Israel intensifies military flights over Lebanon
107,New gadgets galore at tech show
108,Another death at Georgia Aquarium
109,US to urge Nato Afghan spring offensive
110,UK letter bombs may be from extremist drivers
111,Asia seeks breakthrough on North Korea
112,Federer overcomes a ragged start
113,Rowdy fans ejected from the Open
114,Terai protesters hail 'historic' victory over government
115,Anger at release of two held over beheading plot
116,Bush adamant on troops to Iraq
117,Bebe Neuwirth gets to 'wiggle again'
118,Beckham to L.A.: For the game not fame
119,Sleep more to fight childhood obesity
120,Abbas rejects temporary state
121,Investigation of child porn site hits 77 nations
122,Sleuths close in on Odysseus home
123,Variety: Johnny Depp to make movie of spy poisoning
124,Ice storm cripples central U.S.
125,Park stars as United maintain lead
126,Prehistoric Romeo and Juliet discovered
127,India's famous landmark gets facelift
128,Joseph Wambaugh's new start
129,Participant in water-drinking contest dies
130,Apple drops bombshell with iPhone
131,Bollywood's 'Brangelina' engaged
132,"Shiite fighters arrested in crackdown, Iraq says"
133,"Rio De Janeiro journal: drawing lines across the sand, between classes"
134,Models' health guidelines -- will they help?
135,Stepping back in time at ski resort
136,Test cricketer jailed over killing
137,Walnuts 'combat unhealthy fats'
138,Apple to Vista upgraders: 'Wait'
139,Injured Sarwan to miss one-dayers
140,Firms on alert for letter bombs
141,Studios sign off on movie downloads
142,Asif returns with four-wicket haul
143,"Bush authorized Iranians' arrest in Iraq, Rice says"
144,Porn ring scandal reaches Australia
145,Deputy health minister arrested in US-Iraqi raid
146,Senator Carl Krueger thinks iPods can kill you
147,"Finally, Senate okays anti-terror bill Manila"
148,Somalia declares state of emergency
149,Matt shines with his Alpine finish
150,BP CEO Browne to step down in June
151,An iPhone by any other name? Surely not
152,Life in Gaza steadily worsens
153,The energy challenge | Exotic visions: how to cool a planet (maybe)
154,"Easy ways to (really) save $400,000"
155,Shareholders sue Apple
156,Findings: Can humanity survive? Want to bet on it?
157,Iran steps up production of weapons-grade uranium
158,Rig-threat cargo ship towed ashore
159,Palestinians say clashes hurt their cause
160,Male sweat can raise hormones
161,Vital Signs: Hazards: Antidepressant linked to fractures in older people
162,Peron held over '70s rights abuses
163,Space life search turns to TV
164,"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war"
165,YouTube told to drop celeb sex video
166,Beckham & Posh and more athlete-celebrity couples
167,City sets up ice storm shelters
168,Libby prosecutors await judge's rulings
169,Review: 'Alpha Dog' misses the point
170,Republicans plan to block Iraq debate
171,Mixed reaction to China's Africa push
172,Snowed in the Canadian Rockies
173,"Skip the showers: male sweat turns women on, study says"
174,Gently Weeps' lyrics sheet up for sale
175,Canete wins inaugural Joburg Open
176,Rights group halts violent Nepal strikes
177,Real suffer Carlos injury setback
178,Astronaut may have buckled under stress
179,Gunmen abduct Filipino woman in Nigeria
180,NFL team's fan of the year: 'Flag Lady'
181,No 10 rejects police state claim
182,Malaysian AirAsia X to fly in July
183,10 kidnapped at Nigeria oil base
184,Guy sweat is babe magnet
185,Township tourism booming in South Africa
186,'Alpha Dog' misses the point
187,Iran leader pays Nicaragua a visit
188,"'Grey's,' 'Pirates' lead People's Choice"
189,Terror network
190,Now it's official: Iraq's a mess
191,Snow brings travel misery to England
192,James Brown's 5-year-old son left out of will
193,Two men killed by London tube train
194,US millions fail to buy influence in deadly Gaza power play
195,PLO ministers agreed upon in Mecca
196,Squadron apologies over 'friendly-fire' death
197,New Orleans violence sparks tourism fears
198,Friendly fire pilot 'experienced'
199,SPACE.com: Black hole triplets spotted
200,Vaccines: Mandate or choice?
201,"Congolese soldiers riot, loot over pay issue"
202,Commodities lead Europe higher
203,Ingredient in male sweat raises women's hormone levels
204,Goetschl ends Austrian win drought
205,Doomsday Clock ticking away
206,Troops massing around Somali town
207,Tariq Ramadan has an identity issue
208,Peretz orders IDF to respond with force to north border attacks
209,Trains crash near Thai resort town
210,"Hamas, Fatah return to unity gov't talks in Mecca"
211,Pats' fourth-quarter rally finishes Chargers
212,7 Die As US Helicopter Crashes in Iraq
213,Millionaire secret Santa dies
214,Morrissey may cheer up Eurovision
215,Christian values guide Dungy and the Colts
216,Israeli woman's tirade spurs PM outrage
217,Passing exchange becomes political flashpoint
218,Police probe 2 church fires half mile apart
219,Italy to try US soldier for agent's Iraq death
220,Depp to star in spy poisoning film
221,'24's' Jack Bauer returns
222,US Airways boosts bid for Delta
223,"Even before its release, world climate report is criticized as too optimistic"
224,"Second hanging also went awry, Iraq tape shows"
225,Howell takes one shot lead in Sony Open
226,Psych checks reviewed after astronaut's crack-up
227,"Pap Test, a mainstay against cervical cancer, may be fading"
228,Martins leads Newcastle fightback
229,PS3 pricey but impressive
230,Pluto's revenge: 'Word of the Year' award
231,European Space Agency
232,Hackers strike at key Internet servers
233,Hussein co-defendants executed
234,Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail
235,Blissing out in Ojai
236,"Houston, she's got some problems"
237,Amazon.com has 'best ever' sales
238,Hackers attack root servers
239,Video games can improve your vision
240,Internet attacked! (Did anyone notice?)
241,"In Washington, contractors take on biggest role ever"
242,Floods force Malaysia evacuations
243,"On MySpace, girls seek friends, boys flirt"
244,Tests of drug to block H.I.V. infection are halted over safety
245,Zoo polar bear to have root canal
246,Europe take big Royal Trophy lead
247,Israel to install cameras to show live Mughrabi footage
248,'We lit our last candle yesterday'
249,Google buys YouTube for $1.65bn
250,PSP number one Sony platform in Japan
251,England include Giles in WC squad
252,Beckham 'won't play again for Real'
253,Eight years for Damilola killers
254,PC World editor slain at California home
255,Hands on 'Doomsday Clock' move forward
256,Zach Braff says he has 'mild depression'
257,Investigation of child porn site hits 77 nations USA Today
258,Science panel calls global warming unequivocal
259,News Baby pandas! Baby pandas! Baby pandas!
260,Get ready for the earnings
261,Germany agonizes over a brain drain
262,Iran and Nicaraguan leaders meet
263,Secret hotels in Irish countryside
264,Fine wines in British Columbia
265,Philippine president welcomes Senate approval of anti-terror bill 
266,"Small jet crashes on takeoff, killing 2"
267,"Bigger, more aggressive rats infesting UK"
268,Travel+Leisure: Next island hot spot: St. Lucia
269,Real Mallorca rock leaders Sevilla
270,Iran's boast on uranium enrichment is put to test
271,"Personal health: for teenagers, the car is the danger zone"
272,Bird watchers flock to see rare owl
273,Eye on cosmos is lost to short circuit on hubble
274,Too young for this: facing cancer under 40
275,Unilever group names new chairman
276,Minister slams airlines on carbon
277,Rare optimism as North Korea talks reach crossroads
278,Man beheaded in southern Thailand
279,China's 'nightmare scenario'
280,Annual diving contest in South Korea proves a chilly challenge
281,Blair says he regrets delays in British soldier's inquest
282,Iraqi forces detain official suspected in Shia conspiracy
283,Wellcome awards anti-fat research
284,Fingers crossed for North Korea
285,"No intention of war with Iran, US says"
286,What Newsom faces in aftermath of scandal
287,Maggie Gyllenhaal's Globes babysitter: Mom
288,"As inflation soars, Zimbabwe economy plunges"
289,Pledge: I was abused in frat hazing
290,Experts: Fear likely shackled boy
291,What's behind the chopper crashes in Iraq
292,"Freed Muslim terror suspect says Britain is ""police state"""
293,Blair apologises over friendly fire inquest
294,Depp 'to make Litvinenko movie'
295,Why gas follows oil up but not down
296,"'Cravings' still there, sez Tara"
297,Bill would strip convicted legislators of pensions
298,Bears watch as lead slips away
299,"In clue to addiction, brain injury halts smoking"
300,"In rigorous test, talk therapy works for panic disorder"
301,Rice: U.S. won't pull plug on Iraq
302,"On road to Kosovo independence, a warning: go slow"
303,Mistrial for officer who refused to go to Iraq
304,Rebels to join Nepal parliament
305,"EMI warns on profits, boss goes"
306,Subway collapse caught on camera
307,Stinky but true: men's sweat is made for love
308,"POLITICS-US: reprieve for officer who denounced ""Immoral War"""
309,Hunters stalk world's tallest trees
310,Fuel spill may lead to missing jet
311,"Sri Lanka floods displace 60,000"
312,"Justin Timberlake, Cameron Diaz announce split"
313,Iran to hit US interests if attacked
314,Israel says hopes to keep Lebanon border calm
315,Cisco sues Apple over iPhone name
316,Two Palestinians killed near fence
317,EarthLink CEO dies at age 49
318,"A star dies, a family feud is born"
319,"Carter was a disaster, said Ford"
320,Super Bowl MVP Manning insists he's one of the guys
321,Personal health: the importance of knowing what the doctor is talking about
322,Israel's Peretz urges halt to contentious Jerusalem construction
323,Peter Jackson will never work for me again
324,U.S. keeps Iran options open
325,European shares hit fresh highs
326,"For women, nothing's like the smell of men's sweat"
327,Looking beyond the iPhone
328,Freed kidnap suspect: my terror at police raid
329,"Far away, Super Bowl's losers will be champs"
330,Woman dies after water binge
331,Mancuso sparks U.S. celebrations
332,ASEAN urges North Korea resolution
333,Late penalty costs Roma the points
334,Mistrial declared in teacher-student rape case
335,'Bookworm Adventures' wordsmith's joy
336,Kylie's love split
337,iPod good for video games
338,Review: virtual 'American Idol' hits right notes
339,Leo battles himself
340,Attorneys point fingers in fight between Ryan O'Neal and son
341,John Grisham set for court drama
342,"Bill Gates and Craig Mundie: vista is Secure, employees are not"
343,Iraqis fault delayed U.S. plan in attack
344,Boy Scouts blamed for starting wildfire
345,China urges UN action on N Korea
346,"Scorpion on a plane, a pantful of pain"
347,Male sweat boosts women's hormone levels
348,Mbeki on the big visit from the Chinese
349,French right nominates Sarkozy
350,"Israeli, Lebanese clash on border"
351,North Korea claims nuclear test
352,Talks begin on Somalia peacekeepers
353,Action games improve eyesight
354,"A small part of the brain, and its profound effects"
355,IDF shells Lebanese Army positions across northern border
356,Thailand: missing 25 years after taking wrong bus
357,Ballerina sparks anti-fascist row
358,Internet boom in China is built on virtual fun
359,Review: PS3 pricey but impressive
360,Machinery orders drive Asia upward
361,'Lost's' Fox: 'I'm a liar and a cheat'
362,Russia to strengthen its military muscle
363,"At Libby trial, Russert of NBC gives and gets"
364,North Korea ready to discuss first steps to nuclear resolution
365,Victim: Gunman bought drink after shooting
366,Ferrer victorious in Spanish duel
367,UK workers on alert for letter bombs
368,Did NASA accidentally kill life on Mars?
369,"New vaccine for cervical cancer could prove useful in men, too"
370,Search on for victims of subway collapse
371,Human error caused Helios crash
372,US to prod NATO allies for more troops to defeat Taliban
373,Microsoft supports OpenID authentication standard
374,No buyer in sight for Napster
375,"Briefly: preloaded iPods, Wal-Mart movies, Apple stores"
376,China says rich countries should take lead on global warming
377,North Korea may begin to dismantle nukes
378,Tracking down hi-tech crime
379,Barack Obama formally announces bid for president
380,Kidnappers seize two in Nigeria
381,"Indonesia may sell, not give, bird flu virus to scientists"
382,"Attack video saddens ""friendly fire"" widow"
383,Europe retain trophy with big win
384,Cutting edge accessories for digital music players
385,Ice storm descends on central U.S.
386,Snow brings travel misery to England
387,"Indonesia flood forces 340,000 from homes"
388,Iraqi health minister seized in raid 
389,Ice storm brings chaos in U.S.
390,Stinky flower mystery solved
391,Congressman rebukes U.S. allies for lack of support in Afghanistan 
392,Roddick overcomes Federer in final
393,Prehistoric Romeo and Juliet discovered
394,Donald and Goydos share Sony lead
395,U.S. and Iraqis are wrangling over war plans
396,Sea search for missing Microsoft scientist
397,Iran to Hit US Interests if Attacked
398,Blair: Terror battle will be long
399,Bear cub returned to the wilderness
400,Carrefour sales growth falls short
401,"Allied with democrats, Lieberman easily aligns with Republicans"
402,"In the Rockies, pines die and bears feel it"
403,Iran to strike US interests if attacked
404,"Nipple covers, other star secrets"
405,Apple: no iTunes for you if you have Vista!
406,Smokestacks in a white wilderness divide Iceland
407,That'll cost ya
408,Botched hangings in Iraq speed sectarianism
409,Male sweat raises female hormones
410,7 GOP senators to force debate on troops in Iraq
411,Bangladesh ends curfew amid unrest
412,Italy's dispute with US over Iraq shooting
413,Here come the Globes!
414,Snow causes transport chaos in Britain
415,Snow causes airport closures in Britain
416,"Second opinion: girl or boy? as fertility technology advances, so does an ethical debate"
417,Heavy snow causes travel chaos and shuts schools
418,Barbaro's legacy: saving other horses
419,Luxury digs in South Carolina's Lowcountry
420,Dozens killed in Baghdad bombing
421,Ice storms kill 21 across nation
422,De Villiers takes over Dakar lead
423,Vietnam becomes WTO's 150th member
424,South African trio share advantage
425,Observatory: poison begets poison
426,Action intensity boosts vision
427,Why the smell of a man's armpit is a turn-on
428,Nokia 5300 Xpress Music
429,"Dell to cut bonuses, trim management"
430,"Second drop in cancer deaths could point to a trend, researchers say"
431,TV game shows go interactive
432,Boy missing since 2002 found alive
433,"US, North Korea signed nuclear memo"
434,Russia honors Sputnik designer
435,"In Kenya's capital, a sense that danger is ever stronger"
436,"Bill, thanks for the RSA memories... and laughs"
437,Friendly fire pilot 'experienced'
438,MySpace welcomes French friends
439,Airlines: UK airport runway unsafe
440,The amounts you have to pay for a bomb scare
441,"In Egypt, Rice speaks softly"
442,"Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead"
443,Senate votes to revoke pensions
444,EarthLink CEO dies at age 49
445,Software giant SAP misses target
446,Vital signs: mental abilities: folic acid may improve thinking skills
447,De Villiers stretches overall lead
448,Families celebrate return of sons
449,China detains 2 after body parts found in mail
450,North Korea ready to discuss nuke disarmament
451,"For women, nothing's like the smell of men's sweat"
452,Nadal wants Australian Open crown
453,Beijing journal: Olympic construction unearths ancient treasure trove
454,"Chinese president arrives in Mozambique, African tour nearly over"
455,Reclusive 'Mockingbird' author attends show
456,"Asia near pact on energy, security"
457,Philippine anti-terror law delayed until June
458,Ex-suspect slams anti-terror laws
459,Study detects a gene linked to Alzheimer's
460,Panda cub makes her debut
461,Harris haul puts South Africa on top
462,Weight-loss drug to be sold over the counter
463,Beckham outlines reasons for move
464,Study finds gritty air raises heart disease risk in older women
465,"Venezuela, Iran fight U.S. dominance"
466,'Housewives' star Marcia Cross on bed rest
467,Blog: Here come the Globes!
468,Greek police hunt embassy attackers
469,Apple warns iTunes users to wait on Vista
470,Tsunami fears ease after quake
471,China considers Eurobond reserves
472,Underarm bowls them over
473,At least 130 die as blast levels Baghdad market
474,New McCain team made attack ads he once faulted
475,Deaths as bird flu flares in Asia
476,"Hamas, Fatah leaders pledge to meet until they reach agreement"
477,Officers had 'rapport' with alleged abductor
478,No e-Book for Harry Potter VII
479,Review: Nokia 5300 Xpress Music
480,'Can't do this anymore'? Not Jack
481,Black hole triplets spotted
482,Israel weighs old city project webcast
483,Indonesian bird flu deaths hit 61
484,Somali refugees cut off from aid
485,Microsoft downplays Vista speech-recognition hack
486,Next island hot spot: St. Lucia
487,Italy to hold no-show trial of Bronx GI in Iraq slay
488,Rescued boys parents hail 'miracle'
489,Canadians tracked in child porn ring
490,Teen hacks Venezuelan government Web sites
491,"Russia plans new ICBMs, nuclear subs"
492,Gere cheers sex workers in AIDS fight
493,Study: Male sweat causes female hormones to rise
494,Collision on icy road kills 7
495,Surprise: China cuts price of gas
496,What the Godfather of Soul meant to me
497,New Mars orbiter spots Pathfinder landing site
498,Mass Venezuela opposition rally
499,Glamour -- and 'Borat' -- at Golden Globes
500,Terror officials see Al Qaeda chiefs regaining power
501,"Ivrea journal: In Italian town, a civics lesson from pelting neighbors"
502,Iraqi sunni lands show new oil and gas promise
503,Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle
504,"A film star in Kampala, conjuring aminos ghost"
505,Militants attack U.S. base in Iraq
506,North Africa feared as staging ground for terror
507,"Iran says Sunnis, using Pakistan as base, planned fatal bombing"
508,Anglicans rebuke U.S. branch on same-sex unions
509,Homemade bombs kill 65 on Indian train
510,Al Qaeda chiefs are seen to regain power
511,Chvez threatens to jail violators of price controls
512,Bush declares Iran's arms role in Iraq is certain
513,Accord on North Korea is announced
514,U.S. says powerful Iraqi cleric is living in Iran
515,"Baghdad plan is a success, Iraq prime minister tells Bush"
516,Iraqi sunni lands show new oil and gas promise
517,"Dispute over Iraqi cleric, said to have gone to Iran"
518,Planning seen in Iraqi attacks on U.S. copters
519,"In the world of life-saving drugs, a growing epidemic of deadly fakes"
520,Basics: a mammal in winter with a furnace of her own
521,"Books on science: The problems in modeling nature, with its unruly natural tendencies"
522,Believing scripture but playing by science's rules
523,"A familiar and prescient voice, brought to life"
524,Findings : A cool $25 million for a climate backup plan
525,Call it serendipity: a missing piece of Washington's war tent is found
526,"Free Will: Now you have it, now you don't"
527,Archaeologists find signs of early chimps' tool use
528,Wizardry at Harvard: physicists move light
529,The summit - a slap in the face of the Palestinians
530,Moscow says Palestine-Israeli contacts key to Mideast peace
531,Mideast summit edns with little progress
532,India decries 'an act of sabotage'
533,Pakistan-India peace talks planned despite bombings
534,"Czechs, Poles get missile warning"
535,Russia warns US against missile bases in East Europe
536,"Cheney starts visit to Japan, Australia"
537,China: Cheney shores up the trilateral alliance
538,Iraq insurgents attack US base
539,US soldiers die in day of violence
540,Iraqi suicide attack kills two US troops as militants fight purge
541,Iran reneges on nuclear payments to Russia
542,Top Colombia official resigns
543,Colombia FM resigns after relatives' arrests for militia links
544,Foreign minister of Colombia quits in scandal
545,New Zealand unlikely to allow crippled Japanese whaler
546,Damaged Japanese whaling ship may resume hunting off Antarctica
547,Japanese whaling ship won't accept help
548,Iran top N-envoy heads for Vienna for nuke talks
549,Victims of Air India still wait for justice
550,Kanishka bombing case: Inquiry judge threatens to quit
551,Judge threatens to shut down Air-India inquiry
552,Royal rescues presidential hopes with commanding performance
553,Royal seeks to revive French bid
554,Sarkozy comfort zone offers a royal opportunity
555,"Hicks first in line for trial, Bush says"
556,Australia tells Bush to speed up Guantanamo trial
557,Howard presses Bush on terror suspect
558,France ends toxic alert at Canadian embassy in Paris
559,Paris police investigate package at Canadian embassy
560,False alarm at Canadian embassy in Paris
561,Afghan forces retake town that was overrun by Taliban
562,Taliban seize rural district in southwest as police flee
563,Afghan poppy war alienates farmers
564,Will North Korea honor pledge this time?
565,Kim Jong-il bans Japanese cars in North Korea
566,Iran vs. North Korea: not all enemies are equal
567,Catholic archbishop outlines Anglican merger hopes
568,Anglican and Catholic churches could merge
569,US helicopter crash kills 8 troops in Afghanistan
570,Eight US soldiers killed in Zabul helicopter crash
571,Arroyo lauds passage of anti-terror bill
572,House passes anti-terrorism measure Manila
573,Livingstone's transport empire may extend
574,"London is pace-setter on congestion toll, says mayor"
575,Protest greets congestion charge's westward push
576,"Thailand attacks kill three, injure 70"
577,Thai Govt moves to smooth over relations with south
578,Bombings say Muslim rebels won't negotiate
579,Roots of autism more complex than thought
580,Largest ever autism study identifies two genetic culprits
581,Canadian breakthrough offers hope on autism
582,Beware of peanut butter pathogens
583,Experts offer advice on salmonella
584,Experts issue new heart disease guidelines for women
585,"For women, aspirin a day could keep stroke away"
586,High cholesterol raises stroke risk healthy women
587,Cooked chicken breasts join tainted-food recalls
588,Ready to eat chicken breasts recalled due to suspected listeria
589,Fully-cooked chicken strips recalled 
590,Committee debates cancer vaccine plan
591,Stop cancer with a shot
592,1 mln birds to be vaccinated from bird flu near Moscow
593,Thousands tested after Russian H5N1 outbreak
594,"Russian bird flu outbreak is deadly ""Asian strain"""
595,Bernard Matthews to lay off up to 500 workers
596,Matthews lays off 130 turkey workers
597,Reopening bird flu-hitfactory ignores risks - poultryman
598,Goodbye to girlhood
599,Media cited for showing girls as sex objects
600,Sexualisation 'harms' young girls
601,A shot in the arm
602,Thousands line up to get late flu shots
603,King county offering some free flu vaccines
604,Bush vows cooperation on health care
605,Health returns as hot issue in '08 race
606,Small-business owners find Bush health plan appealing
607,Pediatricians say more cord blood is needed now
608,Whether to save cord blood can be puzzle for parents
609,Retinal implant helping blind people see again
610,"Indonesia ""will not share"" flu samples"
611,Health Canada issues advice on canned tuna
612,Cholesterol link in diabetes study
613,Pig cells hope for diabetes cure
614,Sick hearts switch on a fetal gene
615,Foetal mechanism helps heart failure
616,"Planned cesareans not risk-free, group warns"
617,Scientists tout cocoa's health benefits
618,Feeding your brain: new benefits found in chocolate
619,Some cocoa may improve brain blood flow
620,Lawyer for deceased Nazi-era collaborator Papon vows to bury him 
621,"Cocoa could be antidote to age-related diseases, says new study"
622,China denies reports of North Korean apology
623,Hungarian opposition calls for vote after violence escalates
624,AU regrets Sudan's expulsion of UN envoy 
625,Bush officials: no big move in Iraq plan 
626,Opponent is put on the spot over remarks about Clinton
627,House ethics panel talks to Hastert aide
628,BellSouth says profit rises 30% on cingular earnings
629,Enron boss gets 24-year sentence
630,Sony apologizes for battery recall
631,Google unveils do-it-yourself search engine
632,Firefox 2.0 hits the Web
633,Oracle World opens with Dell unveiling AMD-powered computers
634,Seahawks' QB Hasselbeck out 2-4 weeks
635,Marathon winner released from hospital 
636,Punter charged with stabbing asks to live outside state
637,Allmendinger joining Toyota team in NASCAR 
638,Trying to assess the damage in Cleveland 
639,Bryant's boot may have salvaged Bucs' season
640,This week in auto racing October 27 - October 29
641,Merriman violation stuns ex-teammate
642,Bruce revells in upset
643,Steelers' Roethlisberger has concussion
644,Arthurs upsets Robredo in first round at the St. Petersburg Open
645,Mbeki: 2010 World Cup Planning on Track
646,Clinical Everton show Moyes means business
647,MS Adds Office 2007 to Vista Coupon Program
648,One search does not fit all
649,Apple's dark secret? The 39% claim
650,Bad weather cancels men's downhill
651,Cool millions for YouTube founders
652,"London market a shopping, dining haven"
653,'Jackass' star marries childhood friend The secrets people reveal
654,Audio Slide Show: A love story lasting 61 years
655,Microsoft to release next generation phone
656,Body Shop's Roddick has Hepatitis C
657,Teen allegedly armed by mom turns self in
658,Oxfam: action needed for Chad
659,Violence continues at disputed holy site
660,Storm leaves behind major travel troubles
661,3 U.S. troops killed hunting weapons cache
662,China's 'Friends' highlights Web freedoms
663,NATO: Afghanistan peace 'by 2009'
664,Alaska's northern lights captivate Japanese
665,Smith can't be buried until hearing
666,Spacewalker sets new U.S. record
667,Fortune: India the Superpower? Think again
668,Kerry blasts 'escalation of misguided war'
669,Anna Nicole claimant: A prince of a guy?
670,'Ronnie' and Eto'o hug and make up
671,Best of the Chicago Auto Show
672,"'Grey's,' 'Betty,' 'Scrubs' get boost"
673,Massive mud traps dozens of families
674,"Edwards blogger quits, becomes journalistic martyr"
675,Town packs gym to mourn 10 killed in fire
676,Spain ahead although Nadal is out
677,ECB holds rates at 3.5 percent
678,Iran rejects US claims of supplying weapons in Iraq
679,Jakarta begins disinfection
680,"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end"
681,Apple revs up Mac attacks on Vista
682,Fear hinders black marrow donation
683,Texan allegedly joined Somalia rebel plot
684,"U.S. to allow 7,000 Iraqi refugees"
685,Japan: Whaling activists 'terrorists'
686,'Hannibal' bites the big one
687,Women protest Pakistan demolition
688,Wii news for gamers
689,Democrats look beyond symbolic vote on Iraq
690,Portugal to vote on abortion laws
691,Frustration rises as North Korea nuclear talks stall
692,Horse teeth give details of ancient big chill
693,Scam lures victims with free puppy offer
694,Two Koreas to resume talks
695,Mickelson driving force at masters
696,England opt for Bopara over Loye
697,Create own 'Thrillville' for a wild ride
698,Edwards' campaign blogger quits amid Catholic controversy
699,Judge: Preserve Anna Nicole's body
700,"Dolphins, sea lions may report for duty soon"
701,Nasdaq-LSE battle nears deadline
702,A personal plea for HPV vaccine plan
703,U.S. opens door for Iraqi refugees
704,Swiss plane crashes at Moscow airport
705,Study: napping might help heart
706,MySpace sales surging
707,"Telecoms giant slashes 12,500 jobs"
708,Air France KLM profit rises
709,Uganda parliament votes to send troops to Somalia
710,King and queen reign at British film awards
711,Murphys rule box office with 'Norbit'
712,Thousands rally in Lebanon
713,Yahoo's mission quest
714,Area should get 3-5 inches of snow today
715,Miss Brazil wins lawsuit competition
716,"Snow wreaks havoc in East, Midwest"
717,The secrets people reveal
718,Research supports medicinal marijuana
719,All African amputee football games kick off
720,Group: Video shows chopper go down
721,Sale of Chrysler possible
722,Russia condemns terrorist acts on buses outside Beirut
723,Technology may save India's river dolphins
724,Airbus A380 superjumbo takes off
725,Naps are great for chaps
726,Female astronaut sets record
727,Corn stoves popping up in U.S. homes
728,Iraq closes borders with Syria and Iran
729,The troubling ending of 'The Departed'
730,Vietnamese bank plans IPO listing
731,Toyota's Scion parks in Second Life
732,Obama will run in 2008
733,'Cagney & Lacey' finally coming to DVD
734,Merkel: Stop Iran
